,station_id,name,lat,lon,address,capacity
517,7602,Woodbine Ave / O'Connor Dr,43.699281,-79.318802,Woodbine Ave / O'Connor Dr,19
518,7603,O'Connor Dr / Curity Ave - SMART,43.707582,-79.311439,O'Connor Dr / Curity Ave,24
519,7604,St Columba Pl / St Clair Ave E,43.70567,-79.310554,St Columba Pl / St Clair Ave E,18
520,7605,Lumsden Ave / Eastdale Ave,43.69413548199171,-79.30058718775287,Lumsden Ave / Eastdale Ave,20
521,7606,Dawes Rd / Taylor Creek Trl,43.696631,-79.297436,Dawes Rd / Taylor Creek Trl,19
522,7607,Fairmount Park,43.6765897,-79.3163022,Fairmount Park,19
523,7608,Wilket Creek Park,43.720645,-79.355474,Wilket Creek Park,27
524,7609,Sunnybrook Park,43.720233,-79.362092,Sunnybrook Park,27
525,7610,Kingston Rd / Beech Ave,43.680095,-79.291714,Kingston Rd / Beech Ave,15
526,7611,Victoria Park Ave / Danforth Ave,43.691468,-79.288619,Victoria Park Ave / Danforth Ave,18
527,7612,Livingston Rd / Guildwood Pkwy,43.747854,-79.199327,Livingston Rd / Guildwood Pkwy,19
528,7613,Livingston Rd (Highland Creek Trail),43.7561681,-79.2026694,Livingston Rd (Highland Creek Trail),27
529,7614,Morningside Park (Highland Creek Trail),43.779353,-79.193023,Morningside Park (Highland Creek Trail),23
530,7615,Colonel Danforth Park,43.7777114,-79.1659711,Colonel Danforth Park,27
531,7616,Waterfront Trail (Rouge Hill),43.778015,-79.131911,Waterfront Trail (Rouge Hill),19
532,7617,Starspray Ave / Lawrence Ave E,43.788319,-79.123505,Starspray Ave / Lawrence Ave E,23
533,7618,Vaughan Rd / Oakwood Ave,43.6926825,-79.441042,Vaughan Rd / Oakwood Ave,19
534,7619,Braemar Ave / Eglinton Ave W,43.7041957,-79.4094472,Braemar Ave / Eglinton Ave W,15
535,7620,Eglinton Ave E / Redpath Ave,43.707869099999996,-79.39248,Eglinton Ave W / Redpath Av,15
536,7621,Long Branch GO Station,43.591561,-79.545827,Long Branch GO Station,33
537,7622,Marie Curtis Park,43.5880774,-79.5432067,Marie Curtis Park,23
538,7623,Royal York Rd / Lake Shore Blvd W,43.6029904,-79.4926867,Royal York Rd / Lake Shore Blvd W,19
539,7624,Guildwood GO Station (South),43.754978,-79.1971289,Guildwood GO Station (South),11
540,7625,Yonge St / Lawrence Ave,43.7254665,-79.40115449999999,24 Lawrence Ave East,23
541,7626,Rouge Hill GO Station,43.7805505,-79.1301203,Rouge Hill GO Station,25
542,7627,Shaw St / Essex St - SMART,43.667076,-79.425116,Shaw St / Essex St - SMART,15
543,7629,Lundy Ave / Etienne Brule Park,43.6625395,-79.5030161,Lundy Ave / Etienne Brule Park,15
544,7630,Twelfth St / Thirteenth St,43.600289599999996,-79.5108692,Twelfth St / Thirteenth St,23
545,7631,Florence Gell Park,43.6615467,-79.498398,Florence Gell Park,15
546,7632,Chiltern Hill Rd / Eglinton Ave W,43.7004017,-79.4275305,Chiltern Hill Rd / Eglinton Ave W,17
547,7633,Noble St / Queen St W,43.6424558,-79.4296346,1266 Queen St W,15
548,7634,University Ave / Gerrard St W (WEST) - SMART,43.6578449,-79.3899265,600 University Ave,18
549,7635,Runnymede Rd / Annette St,43.6596299,-79.4799176,Runnymede Rd / Annette St,15
550,7636,Bloor St W / Riverside Ave,43.647663,-79.487583,2511 bloor st w,23
551,7637,Judson St / Royal York,43.6162721,-79.4990363,10 Judson St,19
552,7639,135 Queens Wharf  - SMART,43.6399714,-79.39940399999999,135 Queens Warf,16
553,7640,Spadina Rd / St.Clair Ave West,43.683979,-79.410657,333 St.Clair Ave West,15
554,7641,Annette St / Dundas W,43.6641174,-79.4588522,2659 Dundas St W,15
555,7642,Yonge St / St Clair Ave,43.68850459999999,-79.3940052,1451 Yonge Street,19
556,7643,Oriole Pkwy / Kilbarry Rd,43.6954486,-79.4026176,80 Oriole Parkway,19
557,7644,East Lynn Ave / Danforth Ave,43.6850809,-79.3149901,108 East Lynn Avenue,15
558,7645,University of Toronto Scarborough,43.7842419,-79.1849889,1295-1307 Military Trail,16
559,7646,University Ave / Richmond St W,43.6503935,-79.3860211,225 University Avenue,19
560,7647,Elm St/ University Ave (East Side),43.65637299999999,-79.38781039999999,117 Elm Street,17
561,7648,909 Yonge St,43.67515255542865,-79.38849615969643,909 Yonge St,14
562,7650,St Clair W Subway - Heath Entrance,43.686352,-79.415894,2 Heath Street West,22
563,7653,Bloor St W / Indian Rd,43.6555257,-79.45738940000001,1660 Bloor Street West,15
564,7654,Bloor St W / Pacific Ave,43.65412449999999,-79.4636388,3 Pacific Avenue,7
565,7655,Danforth Ave / Dewhurst Blvd,43.680207,-79.339243,896 Danforth Avenue,15
566,7656,Bloor St W / Brock Ave,43.6589882,-79.438715,Bloor St W / Brock Av,11
567,7657,1 Market St - SMART,43.6469928,-79.3706665,1 Market St,19
568,7658,Kings Mill Park,43.64920406876699,-79.49336334201408,2639 Bloor St W,27
569,7659,Amroth Ave / Danforth Ave,43.6856128,-79.31168269999999,Amroth Ave / Danforth Ave,19
570,7660,285 Victoria St,43.656633,-79.379625,26 Dundas Street East,19
571,7662,Beaty Ave / Queen St W,43.6393107,-79.4408141,85 Beaty Avenue,19
572,7663,Kilgour Rd / Rumsey Rd,43.718039,-79.371914,98 Glenvale Boulevard,17
573,7664,Sunnybrook Health Centre - L Wing,43.72268,-79.37644,60 Raab Blvd,15
574,7665,Sunnybrook Health Centre - S Wing,43.720998,-79.377456,Test,11
575,7666,Dundas St W / St Helen Ave - SMART,43.6504218,-79.4407647,505 College Street,26
576,7667,Spadina Ave / Sussex Ave - SMART,43.66402799999999,-79.40297869999999,698 Spadina Avenue,35
577,7668,Simcoe St / Dundas St W - SMART,43.6558557,-79.3894093,Simcoe St / Dundas St W,20
578,7670,Yonge St / Woburn Ave - SMART,43.72814640000001,-79.4032194,3180 Yonge Street,12
579,7671,Yonge St / Montgomery Ave - SMART,43.7093201,-79.3996301,25 Montgomery Ave,12
580,7675,1525 Dundas St,43.64957,-79.432446,1529 Dundas Street West,15
581,7676,York University (Glendon Campus) - SMART,43.727365488246306,-79.3814254607724,"1 Chedington Pl, North York, ON M4N 3R4",16
582,7677,1303 Yonge St - SMART,43.6846177,-79.39245919999999,1303 YONGE Street,15
583,7678,York University Station (South) - SMART,43.77345,-79.5002,York University Station - SMART,16
584,7679,York University Station (North),43.7741,-79.5005,York University Station,15
585,7680,Princes Gate / Nunavut Dr,43.6334636,-79.4143057,PRINCES GATE / NUNAVUT DR,19
586,7681,25 Booth Ave,43.6544839,-79.34105699999999,25 BOOTH AVE,24
587,7682,Bathurst St / Front St W,43.64134790000001,-79.4013882,Bathurst St / Front St W,23
588,7683,Bay St / Harbour St (West),43.64191,-79.378325,Bay St / Harbour St,15
589,7684,Bay St / Harbour St (East),43.64215,-79.377,Bay St / Harbour St (East),23
590,7685,King / Brant,43.645102,-79.39744979999999,522 King Street West,22
591,7686,Lower Jarvis / The Esplanade,43.6478206,-79.3704721,The Esplanade & Lower Jarvis St,15
592,7687,Bloor / Gladstone - SMART,43.6602021,-79.4342726,"1101 Bloor Street West, Toronto",10
593,7688,High Park Blvd / Parkside Dr,43.644887,-79.45641169999999,200 Parkside Drive,15
594,7689,20 Eaton,43.680012,-79.34403250000001,26 Lipton Avenue,26
595,7691,Christie St / Dupont St,43.67168,-79.421192,Christie St / Dupont St,19
596,7692,85 Lee Ave,43.6700692,-79.2971326,85 Lee Ave,26
597,7693,Mutual St / Shuter St (Arena Gardens),43.6559476,-79.37558829999999,78 Mutual Street - SMART Vault,19
598,7694,Victoria Park Ave / Dawes Rd,43.707212,-79.2952873,Victoria Park Ave / Dawes Rd - SMART Vault,19
599,7695,Queen St E / Joseph Duggan Rd,43.6677628,-79.30811709999999,Queen St E and Joseph Duggan Rd - SMART Vault,19
600,7696,Heyworth Cres / Kingston Rd,43.6750806,-79.3068697,Heyworth Cres / Kingston Rd - SMART Vault,19
601,7697,St Clair Ave W / Cloverdale Rd,43.67392479999999,-79.4615434,St Clair Ave W / Cloverdale Rd - SMART Vault,15
602,7698,St Clair Ave W / Caledonia Rd,43.6754247,-79.4547813,St Clair Ave W / Caledonia Rd - SMART Vault,13
603,7699,St Clair Ave W / Oakwood Ave,43.678177,-79.435364,St Clair Ave W / Oakwood Ave - SMART Vault,15
604,7700,St Clair Ave W / Robina Ave,43.68005,-79.43469,St Clair Ave W / Robina Ave - SMART Vault,15
605,7701,Roncesvalles Ave / Fermanagh Ave,43.6467433,-79.446895,Roncesvalles Ave / Fermanagh Ave - SMART Vault,19
606,7702,111 Broadview Ave,43.6593483,-79.34993659999999,111 Broadview Ave,18
607,7703,Oak st / Sackville st,43.6613642,-79.3641171,274 Oak St,19
608,7704,24 Mountjoy Ave,43.6808774,-79.3304491,24 Mountjoy Ave - SMART Vault,19
609,7705,Colgate Ave / Carlaw Ave,43.6623658,-79.3413344,88 Colgate Ave - SMART Vault,19
610,7706,Felstead Ave/Gillard Ave (Monarch Park),43.6791345,-79.3263159,Felstead Ave / Gillard Ave (Monarch Park) - SMART Vault,27
611,7707,Coronation Park (Martin Goodman Trail),43.635495,-79.40352209999999,7972 Remembrance Drive,19
612,7708,101 Cedarvale,43.6868681,-79.3110942,101 cedarvale Ave,20
613,7709,Beltline Trail / Yonge St,43.6962302,-79.39504339999999,5 Merton Street,23
614,7710,11 Spadina Rd,43.6677246,-79.4041365,11 SPADINA RD,18
615,7711,Havelock St / Dewson St,43.6554793,-79.4302462,71 Havelock Street,15
616,7712,Queen St W / Shaw St,43.6442457,-79.41610440000001,999 Queen Street West,20
617,7713,Temperance St / Bay St,43.6506,-79.381285,55 Temperance St,23
618,7715,Lumsden Ave / Cedarvale Ave,43.693187,-79.314283,324 Cedarvale Avenue,11
619,7716,Church St / The Esplanade,43.6469251,-79.3733192,75 The Esplanade,19
620,7717,Niagara St / Portland St,43.6425791,-79.40011729999999,18 Portland Street,11
621,7718,St. Andrew's Playground Park,43.6461512,-79.3998214,8 Maud Street,11
622,7719,Wolseley St / Augusta Ave,43.6484201,-79.40051919999999,15 Denison Ave,28
623,7720,King St W / Portland St,43.644395,-79.40065430000001,620 King Street West,16
624,7721,Widmer St / King St W,43.6463574,-79.391206,360 King Street West,11
625,7724,Wellesley St E / Parliament St,43.6682342,-79.3702641,280 Wellesley Street East,15
626,7725,Yonge St / Macpherson Ave,43.6791876,-79.39071899999999,1126 Yonge Street,15
627,7728,Randolph Ave / Perth Ave,43.6585504,-79.4497659,152 Perth Avenue,19
